Rank,Name,Symbol
1,Bitcoin,BTC
2,Ethereum,ETH
3,Tether,USDT
4,USD Coin,USDC
5,BNB,BNB
6,Binance USD,BUSD
7,XRP,XRP
8,Dogecoin,DOGE
9,Cardano,ADA
10,Polygon,MATIC
11,Polkadot,DOT
12,Dai,DAI
13,Shiba Inu,SHIB
14,Solana,SOL
15,TRON,TRX
16,Litecoin,LTC
17,Uniswap,UNI
18,UNUS SED LEO,LEO
19,Wrapped Bitcoin,WBTC
20,Avalanche,AVAX
21,Chainlink,LINK
22,Cosmos,ATOM
23,Ethereum Classic,ETC
24,Monero,XMR
25,Stellar,XLM
26,Toncoin,TON
27,Algorand,ALGO
28,Bitcoin Cash,BCH
29,Cronos,CRO
30,Chiliz,CHZ
31,NEAR Protocol,NEAR
32,Quant,QNT
33,Filecoin,FIL
34,VeChain,VET
35,Flow,FLOW
36,OKB,OKB
37,Chain,XCN
38,Hedera,HBAR
39,Terra Classic,LUNC
40,Internet Computer,ICP
41,MultiversX (Elrond),EGLD
42,ApeCoin,APE
43,EOS,EOS
44,Pax Dollar,USDP
45,Trust Wallet Token,TWT
46,Theta Network,THETA
47,Tezos,XTZ
48,The Sandbox,SAND
49,TrueUSD,TUSD
50,Aave,AAVE
51,Decentraland,MANA
52,Bitcoin SV,BSV
53,USDD,USDD
54,KuCoin Token,KCS
55,Huobi Token,HT
56,Axie Infinity,AXS
57,BitTorrent-New,BTT
58,Neutrino USD,USDN
59,Maker,MKR
60,Gemini Dollar,GUSD
61,BitDAO,BIT
62,Zcash,ZEC
63,Aptos,APT
64,IOTA,MIOTA
65,PAX Gold,PAXG
66,PancakeSwap,CAKE
67,eCash,XEC
68,Synthetix,SNX
69,Klaytn,KLAY
70,Neo,NEO
71,Fantom,FTM
72,BinaryX,BNX
73,Fei USD,FEI
74,The Graph,GRT
75,Mina,MINA
76,EthereumPoW,ETHW
77,THORChain,RUNE
78,Lido DAO,LDO
79,Nexo,NEXO
80,GateToken,GT
81,Dash,DASH
82,Arweave,AR
83,Basic Attention Token,BAT
84,Helium,HNT
85,1inch Network,1INCH
86,Loopring,LRC
87,GMX,GMX
88,Stacks,STX
89,XDC Network,XDC
90,Osmosis,OSMO
91,Enjin Coin,ENJ
92,Kava,KAVA
93,Casper,CSPR
94,Curve DAO Token,CRV
95,Zilliqa,ZIL
96,NEM,XEM
97,Decred,DCR
98,Compound,COMP
99,ImmutableX,IMX
100,Convex Finance,CVX
101,Holo,HOT
102,Ethereum Name Service,ENS
103,Bitcoin Gold,BTG
104,Waves,WAVES
105,Balancer,BAL
106,Ravencoin,RVN
107,Theta Fuel,TFUEL
108,STEPN,GMT
109,IoTeX,IOTX
110,TerraClassicUSD,USTC
111,Oasis Network,ROSE
112,Gnosis,GNO
113,SwissBorg,CHSB
114,yearn.finance,YFI
115,Celo,CELO
116,Qtum,QTUM
117,Terra,LUNA
118,Optimism,OP
119,Golem,GLM
120,Ankr,ANKR
121,Kusama,KSM
122,Gala,GALA
123,ABBC Coin,ABBC
124,Symbol,XYM
125,JUST,JST
126,Livepeer,LPT
127,Harmony,ONE
128,Chia,XCH
129,Kadena,KDA
130,Reserve Rights,RSR
131,Polymath,POLY
132,Moonbeam,GLMR
133,Hive,HIVE
